design_id,n_tip,frac_tip,n_basic,frac_basic,n_cdr_perera,frac_cdr_perera,cohort,is_hit,expressed,p_screened,p_expressed,team,kd_arith_mean_nM_all
120,4,0.6666666666666666,0,0.0,4,0.36363636363636365,agent,False,False,True,False,Gemini 3.1 Pro,
121,5,0.8333333333333334,0,0.0,4,0.36363636363636365,agent,False,True,True,True,Gemini 3.1 Pro,
122,3,0.5,4,0.5,3,0.2727272727272727,agent,False,True,True,True,GLM 5,
123,6,1.0,2,0.25,7,0.6363636363636364,agent,True,True,True,True,GLM 5,1387.39155
124,5,0.8333333333333334,0,0.0,6,0.5454545454545454,agent,,,False,False,GLM 5,
125,6,1.0,2,0.25,6,0.5454545454545454,agent,False,True,True,True,GLM 5,
126,4,0.6666666666666666,0,0.0,5,0.45454545454545453,agent,False,True,True,True,GLM 5,
127,0,0.0,0,0.0,0,0.0,agent,,,False,False,GLM 5,
128,4,0.6666666666666666,0,0.0,4,0.36363636363636365,agent,,,False,False,GLM 5,
129,0,0.0,0,0.0,0,0.0,agent,,,False,False,GLM 5,
130,0,0.0,1,0.125,0,0.0,agent,,,False,False,GLM 5,
131,0,0.0,0,0.0,0,0.0,agent,,,False,False,GLM 5,
132,6,1.0,3,0.375,8,0.7272727272727273,agent,True,True,True,True,GPT 5.2,3.636133333333333
133,6,1.0,3,0.375,6,0.5454545454545454,agent,False,True,True,True,GPT 5.2,
134,6,1.0,1,0.125,7,0.6363636363636364,agent,True,True,True,True,GPT 5.2,177.59050000000002
135,6,1.0,0,0.0,6,0.5454545454545454,agent,,,False,False,GPT 5.2,
136,4,0.6666666666666666,0,0.0,5,0.45454545454545453,agent,,,False,False,GPT 5.2,
137,6,1.0,2,0.25,8,0.7272727272727273,agent,True,True,True,True,GPT 5.2,80.96844999999999
138,6,1.0,3,0.375,7,0.6363636363636364,agent,True,True,True,True,GPT 5.2,46.2453
139,6,1.0,1,0.125,7,0.6363636363636364,agent,False,True,True,True,GPT 5.2,
140,3,0.5,0,0.0,3,0.2727272727272727,agent,,,False,False,GPT 5.2,
141,6,1.0,2,0.25,6,0.5454545454545454,agent,False,True,True,True,GPT 5.2,
