family,descriptor,outcome,n,rho,ci_low,ci_high,p_perm,q_bh,set
electrostatic,charge_complementarity,log_kon,36,-0.09766458280341825,-0.42422716772539265,0.25113628538882915,0.5743425657434257,0.5743425657434257,sensitivity_n36
electrostatic,abs_binder_iface_charge,log_kon,36,-0.17575116141321742,-0.4819145307406697,0.18108371826643477,0.2943705629437056,0.5743425657434257,sensitivity_n36
electrostatic,salt_bridges,log_kon,36,0.11759328367868255,-0.2389377245521335,0.4339323340291131,0.49795020497950204,0.5743425657434257,sensitivity_n36
electrostatic,iface_frac_charged,log_kon,36,0.1992787104113125,-0.1542291306516383,0.5302386081362866,0.23357664233576642,0.5743425657434257,sensitivity_n36
electrostatic,charge_complementarity,log_koff,36,-0.35476562168804926,-0.5996667464014648,-0.04150683684346096,0.03519648035196481,0.07039296070392961,sensitivity_n36
electrostatic,abs_binder_iface_charge,log_koff,36,-0.3695416873186594,-0.6305622110991979,-0.0019213015798307251,0.025797420257974202,0.07039296070392961,sensitivity_n36
electrostatic,salt_bridges,log_koff,36,-0.03204711290464653,-0.3343399671737274,0.2962451397417424,0.8607139286071392,0.8607139286071392,sensitivity_n36
electrostatic,iface_frac_charged,log_koff,36,-0.10756155345406979,-0.42970014813217877,0.2605677096115683,0.5331466853314668,0.7108622471086224,sensitivity_n36
electrostatic,charge_complementarity,log_kd,36,-0.2929937484102548,-0.553056149328248,0.02224049058031448,0.08139186081391861,0.16278372162783722,sensitivity_n36
electrostatic,abs_binder_iface_charge,log_kd,36,-0.3052101301221232,-0.6137399433309709,0.08797028218215949,0.0755924407559244,0.16278372162783722,sensitivity_n36
electrostatic,salt_bridges,log_kd,36,-0.07246571652724153,-0.3741755904992946,0.24153791564137223,0.6847315268473153,0.6847315268473153,sensitivity_n36
electrostatic,iface_frac_charged,log_kd,36,-0.11683632213513927,-0.4484714598005174,0.26307132789632465,0.5037496250374962,0.6716661667166616,sensitivity_n36
confidence,submitted_ipsae,log_kon,36,0.25920205920205924,-0.09132882856255121,0.5396876700523654,0.12858714128587143,0.285971402859714,sensitivity_n36
confidence,boltz2_iptm,log_kon,36,0.2471042471042471,-0.10280672738958871,0.5346381342173682,0.142985701429857,0.285971402859714,sensitivity_n36
confidence,boltz2_plddt,log_kon,36,0.09317889317889319,-0.2685838557187069,0.42255475139341897,0.5801419858014198,0.7735226477352265,sensitivity_n36
confidence,boltz2_complex_plddt,log_kon,36,0.030373230373230378,-0.3208371879713158,0.3404263143550911,0.8743125687431257,0.8743125687431257,sensitivity_n36
confidence,submitted_ipsae,log_koff,36,-0.3338481338481339,-0.5957043211665709,0.009851540463271774,0.04839516048395161,0.19358064193580643,sensitivity_n36
confidence,boltz2_iptm,log_koff,36,-0.23217503217503221,-0.5265869841797023,0.13779480094531202,0.17918208179182082,0.35836416358364165,sensitivity_n36
confidence,boltz2_plddt,log_koff,36,-0.11196911196911198,-0.4370396288733266,0.27840747930994025,0.5341465853414659,0.7121954471219545,sensitivity_n36
confidence,boltz2_complex_plddt,log_koff,36,-0.04993564993564994,-0.38411878631375085,0.2915021162139928,0.7693230676932307,0.7693230676932307,sensitivity_n36
confidence,submitted_ipsae,log_kd,36,-0.3974259974259975,-0.6576188843518288,-0.08277727454779779,0.015598440155984402,0.06239376062393761,sensitivity_n36
confidence,boltz2_iptm,log_kd,36,-0.2836550836550837,-0.5697211209002601,0.08475264855454454,0.09679032096790322,0.19358064193580643,sensitivity_n36
confidence,boltz2_plddt,log_kd,36,-0.14131274131274132,-0.4678022970705897,0.25735664291312105,0.39636036396360363,0.5284804852848048,sensitivity_n36
confidence,boltz2_complex_plddt,log_kd,36,-0.06718146718146718,-0.38726133481091435,0.27989534078886197,0.6977302269773022,0.6977302269773022,sensitivity_n36
